B-SPBN-FKDE-Linear,B-SPBN-FKDE-Simple,B-SPBN-Linear,B-SPBN-Simple,SPBN
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.8,0.0,0.8,0.4
0.8,0.8,0.0,0.0,0.8
0.0,0.4,0.4,0.4,0.4
1.2,1.2,0.0,0.8,0.0
0.0,0.8,0.0,0.0,0.4
0.0,0.0,0.0,0.4,0.0
0.0,0.0,0.4,0.0,0.0
0.0,0.4,0.4,0.0,0.0
0.4,0.4,0.4,0.0,0.0
0.0,0.4,0.0,0.0,0.0
0.4,0.0,0.4,0.0,0.0
0.4,0.4,0.4,0.4,0.4
0.8,1.6,0.4,0.0,0.4
1.2,0.8,0.0,0.0,0.0
0.4,0.0,0.4,0.4,0.4
1.2,0.0,0.4,0.0,0.4
